WKT,gid,access,addr:housenumber,aeroway,ele,landuse,military,name,operator,ref,surface,width
"POINT (-69.0482205 -43.8749066007977)","1042059432",,,aerodrome,,,,Aeródromo Paso de Indios,,,,
"POINT (-70.4434189 -44.4354443006663)","1042020830",,,aerodrome,,,,Aeródromo Estancia Nueva Lubecka,,,,
"POINT (-70.1963882 -44.7761116005731)","1042020821",,,aerodrome,,,,Aeródromo Estancia La Laurita,,,,
"POINT (-70.2455978 -45.703899400273)","1042059492",,,aerodrome,,,,Aeropuerto de Rio Mayo,,,,
"POINT (-69.0770168 -45.5746383003184)","1042059420",,,aerodrome,,,,Aeródromo de Sarmiento,,,,
"POINT (-68.0027057 -46.4266442000009)","3779112464",,,aerodrome,,,,Aeródromo Las Chapas,,,,
"POINT (-67.3746291 -46.8565052998278)","3385434024",,,aerodrome,,,,Aeródromo El Rancho,,,,
"POINT (-67.2462348 -47.0208938997601)","3385434025",,,aerodrome,,,,Aeródromo Fitz Roy,,,,
"POINT (-68.1063675 -48.3735488991963)","3371293075",,,aerodrome,,,,Aeródromo Cerro Vanguardia,,,,
"POINT (-67.7236023 -34.9730987998832)","1042020861",,,aerodrome,"466",,,General Alvear Aeroclub,,,,
"POINT (-67.6925251 -35.0593276999016)","1042059080",,,aerodrome,"454",,,Aeródromo General Alvear,,,,
"POINT (-63.6008 -35.1993999999319)","1042021108",,,aerodrome,,,,Aeródromo Azcarate Irastorza,,,,
"POINT (-63.9763603 -34.0176754996936)","1042020880",,,aerodrome,,,,Aeródromo General Levalle,,,,
"POINT (-65.3668976 -34.0013999996906)","1042020813",,,aerodrome,"436",,,Aeródromo Estancia Don Roberto,,,,
"POINT (-65.2814854 -32.7500348994942)","1042021453",,,aerodrome,"751",,,Aeródromo Tilisarao,,,,
"POINT (-64.2433047 -32.1471841994244)","7883347899",,,aerodrome,,,,,,,,
"POINT (-64.3003006 -31.4008006993624)","1042021074",,,aerodrome,,,,Aeródromo La Mezquita,Ejército Argentino,,,
"POINT (-61.0461 -33.9230999996764)","1042020705",,,aerodrome,,,,Aeroclub Colón,,,,
"POINT (-60.6539 -33.3052999995732)","1042020359",,,aerodrome,52 m,,,Aerofumigaciones Don Alejandro,,OGB,,
"POINT (-60.6658 -33.3238999995761)","1042021836",,,aerodrome,"48",,,Aeródromo Fumigaciones Campanucci,,,,
"POINT (-59.4688873 -33.8597220996652)","1042021528",,,aerodrome,"26",,,Aeródromo Baradero,,,,
"POINT (-59.8326179 -33.6671759996318)","1042021655",,,aerodrome,"28",,,Aeródromo El Girasol,,,,
"POINT (-59.2724056 -33.5989363996204)","1042058820",,,aerodrome,,,,Aeródromo Militar Teniente Félix Origone,,,,
"POINT (-59.0372 -34.4977999997853)","1042020924",,,aerodrome,,,,Aeródromo Open Door,,,,
"POINT (-59.1094017 -34.728599499832)","1042021071",,,aerodrome,,,,Aeródromo La Fantasia,,,,
"POINT (-59.1272 -34.6432999998146)","1042021800",,,aerodrome,,,,Aeródromo Estancia Villa María,,,,
"POINT (-59.480278 -34.4269446997713)","1042021160",,,aerodrome,,,,Aeródromo Pepone Aeroclub,,,,
"POINT (-59.869201 -34.415212199769)","1042020666",,,aerodrome,,,,Aeródromo Carmen de Areco,,,,
"POINT (-59.5852776 -34.5388869997935)","1042021095",,,aerodrome,,,,Aeródromo Lipton,,,,
"POINT (-58.8969 -34.7974999998463)","1042021104",,,aerodrome,,,,Aeródromo Marcos Paz,,,,
"POINT (-58.9155971 -34.920390499872)","1042020878",,,aerodrome,,,,Aeródromo de General Las Heras,,,,
"POINT (-58.3650446 -35.1956090999311)","2593448869",,,aerodrome,,,,"Aeródromo ""El Manantial""",,EML,,
"POINT (-57.9488308 -35.0879866999078)","1042021190",,,aerodrome,"20",,,Aeródromo Poblet,,,,
"POINT (-58.2483161 -34.1848642997246)","1042058575",,,aerodrome,,,,Aeropuerto Isla Martín García,,,,
"POINT (-58.8964303 -32.693665699487)","1042021459",,,aerodrome,,,,Club de Planeadores,,,,
"POINT (-61.0608 -33.0118999995298)","1042021964",,,aerodrome,"73",,,Aeródromo La Lucía,,,,
"POINT (-60.9780719 -32.3577864994468)","1042021854",,,aerodrome,"30",,,Aeródromo Fumigaciones González,,,,
"POINT (-60.5654961 -30.7640314993311)","1042021436",,,aerodrome,"55",,,Aeródromo San Justo,,,,
"POINT (-59.532598 -30.0452677993196)","1042020812",yes,,aerodrome,"39",,,Aeródromo de Esquina,,03/21,unpaved,"30"
"POINT (-58.0218873 -29.6018669993247)","9525537944",yes,,aerodrome,"82",,,Aeródromo de la Estancia San Juan,,,grass,"30"
"POINT (-57.8963782 -29.6567831993236)","9525537928",yes,,aerodrome,fixme,,,Aeródromo,,06/24,grass,"30"
"POINT (-57.9791602 -29.7801799993216)","9525537940",yes,,aerodrome,fixme,,,Aeródromo de,,18/36,,
"POINT (-57.8351916 -29.9930310993198)","9525537941",yes,,aerodrome,,,,Aeródromo de La Esmeralda,,07/25,unpaved,"30"
"POINT (-57.8452972 -30.2406247993203)","9525537939",yes,,aerodrome,"65",,,Aeródromo de Timboy,,,unpaved,"30"
"POINT (-58.0616261 -28.7338926993596)","9525537930",yes,,aerodrome,,,,,,,unpaved,"30"
"POINT (-56.6309695 -27.5293196994561)","9525537938",,,aerodrome,"119",,,Aeropuerto de Ituzaingó,,15/33,grass,"30"
"POINT (-59.1794444 -29.1586110993385)","1042021047",,,aerodrome,"64",,,Aeródromo Italaviation,,,,
"POINT (-59.2486468 -29.171723899338)","1042020987",yes,,aerodrome,"38",,,Aeroclub de Goya,,,unpaved,"30"
"POINT (-61.6038 -28.6200999993665)","1042058568",,,aerodrome,"75",,,Aeródromo Villa Minetti,,,,
"POINT (-60.4818831 -26.7461643995429)","5295974121",,,aerodrome,,,,Asociación Civil de Aeromodelismo,,,,
"POINT (-58.6694 -27.0877999995031)","1042022067",,,aerodrome,"54",,,Aeródromo Petruk,,,,
"POINT (-58.2948495 -26.3005520995988)","1042020848",,,aerodrome,"70",,,Aeroclub Formosa,,01/19,,
"POINT (-58.1971016 -26.502199199573)","1042055677",,,aerodrome,,,,Estancia Herradura Airport,,,,
"POINT (-57.7344 -25.3035999997355)","1042059315",,,aerodrome,,,,Aeropuerto de Clorinda,,,,
"POINT (-55.1983512 -27.035762899509)","1042021049",,,aerodrome,,,,Aeródromo de Jardín América,,,,
"POINT (-54.7509774 -26.6521012995544)","5672453925",,,aerodrome,,,,Aeroclub Caraguatay,,,,
